Question,Answer
Melih Dikmen kimdir?,"Melih Dikmen Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitimde Program Geliştirme"
Handan Karakaya kimdir?,Handan Karakaya Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Din Sosyolojisi
Faruk Polatcan kimdir?,"Faruk Polatcan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Türkçe Eğitimi"
Musa Ünalan kimdir?,"Musa Ünalan Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Pazarlama Araştırma Metodolojisi, Uluslararası Pazarlama, Ürün ve Marka Yönetimi"
Semih Dikmen kimdir?,"Semih Dikmen Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim, Eğitimde Program Geliştirme"
Hakan Kalender kimdir?,Hakan Kalender Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Mikrobiyolojisi
Seda Aktı Aslan kimdir?,"Seda Aktı Aslan Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Programları ve Öğretim"
Mehmet Saltuk Arıkan kimdir?,"Mehmet Saltuk Arıkan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Bilimleri, Hayvan Sağlığı Ekonomisi ve İşletmeciliği"
Nurcan Yücel kimdir?,Nurcan Yücel Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilim ve Teknoloji Sosyolojisi ve Sosyal Bilimler
Yunus Santur kimdir?,"Yunus Santur Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Algoritmalar ve Hesaplama Kuramı, Makine Öğrenme, Veri Madenciliği ve Bilgi Keşfi, Yapay Zeka, Doğal Dil İşleme, Bilgisayar Yazılımı"
Mukadder Boydak Özan kimdir?,Mukadder Boydak Özan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Yunus Emre Karakaya kimdir?,"Yunus Emre Karakaya Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Spor Sosyolojisi, Beden Eğitimi ve Oyun, Beden Eğitimi ve Spor Pedagojisi, Engelliler için Beden Eğitimi, Spor ve Fiziksel Aktivite, Spor Tarihi"
Ali Kaya Gür kimdir?,"Ali Kaya Gür Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kaynak Teknolojileri, Malzeme Mühendisliği, Kaplama Teknolojisi, Kompozit ve Hibrit Malzemeler, Malzeme Karekterizasyonu, Metaller ve Alaşım Malzemeleri , Toz Metalurjisi"
Cevdet Emin Ekinci kimdir?,"Cevdet Emin Ekinci Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yapı Malzemeleri, Betonarme Yapılar, Yapım Teknolojileri, İnşaat Mühendisliği"
Erkan Turan Demirel kimdir?,"Erkan Turan Demirel Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Yönetimi, İnsan Kaynakları Yönetimi, Strateji, Yönetim ve Örgütsel Davranış, Strateji"
Erkut Yalçın kimdir?,Erkut Yalçın Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ulaştırma Mühendisliği
Özcan Demir kimdir?,"Özcan Demir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Yönetimi, Bankacılık ve Sigortacılık, Yönetim Muhasebesi"
Yalın Kılıç Türel kimdir?,"Yalın Kılıç Türel Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dijitalleşme, Yapay Zeka (Diğer), Bilim, Teknoloji ve Mühendislik Eğitimi ve Programlarının Geliştirilmesi"
Nesrişah Saylan kimdir?,Nesrişah Saylan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kuran-ı Kerim Okuma ve Kıraat
Erkut Sayın kimdir?,"Erkut Sayın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Mühendisliği, Betonarme Yapılar, Deprem Mühendisliği"
Zafer Çakmak kimdir?,Zafer Çakmak Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyal Bilgiler Eğitimi
Muhammet Düşükcan kimdir?,"Muhammet Düşükcan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnsan Kaynakları Yönetimi, Girişimcilik, Strateji"
Sezgin Demir kimdir?,Sezgin Demir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Turkish Education
Erkan Turan Demirel kimdir?,"Erkan Turan Demirel Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnsan Kaynakları Yönetimi, Örgütsel Davranış, Strateji"
Metin Çalta kimdir?,"Metin Çalta Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sucul Toksikoloji, Su Kalitesi ve Su Kirliliği, Sucul Kültür ve Balıkçılık"
Mehmet Daş kimdir?,"Mehmet Daş Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Modelleme ve Simülasyon, Termodinamik ve İstatistiksel Fizik, Akışkan Mekaniği ve Termal Mühendislik, Akışkan Akışı, Isı ve Kütle Transferinde Deneysel Yöntemler, Makine Mühendisliği, Enerji Üretimi, Dönüşüm ve Depolama (Kimyasal ve Elektiksel hariç)"
Mehmet Onur Kaya kimdir?,"Mehmet Onur Kaya Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Öğrenme, Yapay Zeka, Biyoistatistik, Sağlık Bilimleri, Epidemiyolojik Yöntemler"
Abdunnur Yıldız kimdir?,Abdunnur Yıldız Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Maliye Politikası
Mehmet Özeren kimdir?,"Mehmet Özeren Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Güney-Batı (Oğuz) Türk Lehçeleri ve Edebiyatları, Güney-Doğu (Yeni Uygur/Özbek) Türk Lehçeleri ve Edebiyatları, Kuzey-Batı (Kıpçak) Türk Lehçeleri ve Edebiyatları, Kuzey-Doğu (Altay, Hakas, Tuva, Saha/Yakut) Türk Lehçeleri ve Edebiyatları, İletişim Çalışmaları, Ağız Araştırmaları Bilimi, Çağdaş Türk Lehçeleri ve Edebiyatları (Diğer), Çeviri ve Yorum Çalışmaları, Karşılaştırmalı Dil Çalışmaları, Çeviribilim, Dil Edinimi, Bilişsel Dilbilimi, Dil Kullanım Bilimi, Dilsel Yapılar (Fonoloji, Morfoloji ve Sözdizimi dahil), Fonetik ve Konuşma Bilimi, Sözlükbilim ve Anlambilim, Tarihsel, Karşılaştırmalı ve Biçimsel Dilbilim, Rus Dili, Edebiyatı ve Kültürü, Urdu Dili, Edebiyatı ve Kültürü, Ekoeleştiri, Eski Türk Dili (Orhun, Uygur, Karahanlı), Tarihi Kuzey Doğu Türk Dili (Harezm, Kıpçak, Çağatay), Yeni Türk Dili (Eski Anadolu, Osmanlı, Türkiye Türkçesi), Anadolu Dilleri, Türk Dili ve Edebiyatı Eğitimi, Dil Sosyolojisi"
Celalettin Korkmaz kimdir?,Celalettin Korkmaz Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Pelin Koparır kimdir?,"Pelin Koparır Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fiziksel Organik Kimya, Organik Kimyasal Sentez, Adli Kimya"
Celalettin Korkmaz kimdir?,"Celalettin Korkmaz Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Yönetimi, Cinsiyet, Cinsellik ve Eğitim"
Ali Yıldırım kimdir?,Ali Yıldırım Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Osmanlı Sahası Klasik Türk Edebiyatı
Murat Aydoğan kimdir?,"Murat Aydoğan Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Öğrenme, Derin Öğrenme, Bilgi Güvenliği ve Kriptoloji, Büyük Veri, Doğal Dil İşleme"
Muhammet Baykara kimdir?,"Muhammet Baykara Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri, Bilgisayar Yazılımı"
Ömer Aytaç kimdir?,"Ömer Aytaç Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyoloji, Boş Zaman Sosyolojisi, Çalışma Sosyolojisi"
Burhan Akpınar kimdir?,"Burhan Akpınar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Programları ve Öğretim, Eğitim Programları ve Öğretim (Diğer), Eğitim Felsefesi"
Yavuz Özek kimdir?,"Yavuz Özek Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ekonomi Politik Teorisi, Büyüme, İstatistiksel Analiz"
Mustafa Karatepe kimdir?,"Mustafa Karatepe Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biochemistry and Cell Biology, Analytical Biochemistry"
Fatih Özyurt kimdir?,"Fatih Özyurt Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Machine Learning, Artificial Intelligence"
Yalın Kılıç Türel kimdir?,"Yalın Kılıç Türel Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Sistemleri Eğitimi, Dijitalleşme, İnsan Bilgisayar Etkileşimi, Bilim, Teknoloji ve Mühendislik Eğitimi ve Programlarının Geliştirilmesi"
Songül Karabatak kimdir?,Songül Karabatak Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Mesut Gör kimdir?,"Mesut Gör Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Geoteknik Mühendisliği, İnşaat Mühendisliğinde Zemin Mekaniği"
Buket Kaya kimdir?,Buket Kaya Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri
Tuba Nur Olğun kimdir?,"Tuba Nur Olğun Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kent Tarihi, Mimarlık, Mimari Miras ve Koruma, Mimari Tarih, Teori ve Eleştiri, Sürdürülebilir Mimari, Mimarlık (Diğer), Yapı, Çevre, Yerleşim ve Ürünlerde Koruma, Restorasyon, Yenileme, Kültürel ve Doğal Miras, Kültürel Miras ve Koruma, Somut Olmayan Kültürel Miras"
Kürşat Esat Alyamaç kimdir?,"Kürşat Esat Alyamaç Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Betonarme Yapılar, Deprem Mühendisliği, Yapı Malzemeleri, Yapı Mühendisliği"
Yusuf Celal Erol kimdir?,"Yusuf Celal Erol Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Kamu Yönetimi"
İsmail Türkoğlu kimdir?,"İsmail Türkoğlu Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bitki Morfolojisi ve Anatomisi, Etnobotanik, Fen Bilgisi Eğitimi"
Dündar Dağlı kimdir?,"Dündar Dağlı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Beşeri Coğrafyada Kent , Kırsal ve Bölgesel Coğrafya, Türkiye Beşeri Coğrafyası, Yerleşme Coğrafyası, Planlamada Coğrafi Bilgi Sistemleri (CBS)"
İzzet Taşar kimdir?,"İzzet Taşar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Büyüme, Enflasyon, Kalkınma Ekonomisi - Makro, Gelişme Ekonomisi"
Bihter Daş kimdir?,"Bihter Daş Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Büyük Veri, Veri Madenciliği ve Bilgi Keşfi, Bilgisayar Yazılımı"
Abdülkadir Şengür kimdir?,"Abdülkadir Şengür Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgisayar Görüşü, Görüntü İşleme, Yapay Zeka (Diğer)"
Menşure Kübra Müezzinoğlu kimdir?,"Menşure Kübra Müezzinoğlu Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Güzel Sanatlar Eğitimi, Mimari ve Tasarım, İç Mimarlık , İç Dekorasyon Tasarımı, Tasarım Kültürü ve Toplumsal Bağlam"
Oğuzhan Özdemir kimdir?,"Oğuzhan Özdemir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Sistemleri Eğitimi, Eğitim, Eğitim Teknolojisi ve Bilgi İşlem"
Barış Karakaya kimdir?,"Barış Karakaya Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Bilgi Güvenliği ve Kriptoloji, Kriptografi, Veri ve Bilgi Gizliliği, Elektrik Mühendisliği, Devreler ve Sistemler"
Tuncay Yavuz Özdemir kimdir?,Tuncay Yavuz Özdemir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
F. Gül Koçsoy kimdir?,"F. Gül Koçsoy Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Modern ve Postmodern Edebiyat, Genç Yetişkin Edebiyatı, Ekoeleştiri, Edebi Teori, Çocuk Edebiyatı , Kuzey Amerika Dilleri, Edebiyatları ve Kültürleri, İngiliz ve İrlanda Dili, Edebiyatı ve Kültürü"
Ebru Kükey kimdir?,"Ebru Kükey Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Matematik Eğitimi"
Eren Polat kimdir?,Eren Polat Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Cerrahi
Selçuk Beşir Demir kimdir?,"Selçuk Beşir Demir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Sosyal Bilgiler Eğitimi"
Süleyman İlhan kimdir?,Süleyman İlhan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyoloji
Hanbey Hazar kimdir?,"Hanbey Hazar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Enerji, İçten Yanmalı Motorlar, Otomotiv Yanma ve Yakıt Mühendisliği"
Burcu Gezer Şen kimdir?,"Burcu Gezer Şen Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Aile Sosyolojisi, Eğitim Sosyolojisi, Çocuk Sosyolojisi"
Seda Arıkan kimdir?,"Seda Arıkan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Avrupa Dilleri, Edebiyatları ve Kültürleri, İngiliz ve İrlanda Dili, Edebiyatı ve Kültürü, Karşılaştırmalı ve Ulusötesi Edebiyat, Modern ve Postmodern Edebiyat, Çevre Felsefesi, Etik, 20. Yüzyıl Felsefesi, Çağdaş Felsefe"
Ukbe Usame Uçar kimdir?,"Ukbe Usame Uçar Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Programlama Dilleri, Endüstri Mühendisliği, Uzay Mühendisliği"
Mehmet Karahan kimdir?,Mehmet Karahan Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnovasyon Yönetimi
Yunus Namaz kimdir?,"Yunus Namaz Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sinema Sosyolojisi, Sinema, Film Eleştirisi, Sinema Tarihi"
Yüksel Arslantaş kimdir?,Yüksel Arslantaş Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eskiçağ Tarihi
Süleyman Kaan Yalçın kimdir?,"Süleyman Kaan Yalçın Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çuvaş Dil ve Edebiyatı, Güney-Batı (Oğuz) Türk Lehçeleri ve Edebiyatları, Güney-Doğu (Yeni Uygur/Özbek) Türk Lehçeleri ve Edebiyatları, Ağız Araştırmaları Bilimi, Türkçe ve Sosyal Bilimler Eğitimi"
Belkız Torğul kimdir?,"Belkız Torğul Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bulanık Hesaplama, Çok Ölçütlü Karar Verme, Endüstri Mühendisliği, Üretimde Optimizasyon, Tedarik Zinciri Yönetimi"
Elif Aksoy kimdir?,"Elif Aksoy Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sanat ve Edebiyat, Geleneksel Türk Sanatları"
Veysel Özdemir kimdir?,"Veysel Özdemir Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Din, Toplum ve Kültür Araştırmaları , Hadis"
Feyza Altunbey Özbay kimdir?,"Feyza Altunbey Özbay Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Deep Learning, Data Mining and Knowledge Discovery, Artificial Intelligence"
Seçil Tümen Akyıldız kimdir?,Seçil Tümen Akyıldız Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Kürşat Çelik kimdir?,"Kürşat Çelik Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Osmanlı İktisat Tarihi, Yakınçağ Tarihi, Yakınçağ Ortadoğu Tarihi"
Ömer Aytaç kimdir?,"Ömer Aytaç Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Boş Zaman Sosyolojisi, İş ve Örgüt Sosyolojisi"
Suat Toraman kimdir?,"Suat Toraman Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Deep Learning, Artificial Intelligence (Other), Computer Software"
Fatih Ertam kimdir?,"Fatih Ertam Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Sistemleri, Ağ Oluşturma ve İletişim, Adli Bilişim, Büyük Veri, Doğal Dil İşleme"
İmam Bakır Arabacı kimdir?,"İmam Bakır Arabacı Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Yönetimi"
Güngör Yıldırım kimdir?,"Güngör Yıldırım Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri, Büyük Veri, Yapay Zeka"
Fatoş Uncu kimdir?,Fatoş Uncu Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Halk Sağlığı Hemşireliği
Yunus Santur kimdir?,"Yunus Santur Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri, Görüntü İşleme, Bulut Bilişim, Makine Öğrenme, Büyük Veri, Yapay Zeka, Doğal Dil İşleme, Bilgisayar Sistem Yazılımı"
Sinan Saydam kimdir?,Sinan Saydam Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kimya
